Address,Full Address,HYPE Balance,Staked HYPE,HYPE (formatted),Staked HYPE (formatted),Unstaking Locked,Unstaking Unlocked,Unstaking Locked (formatted),Unstaking Unlocked (formatted),Unstaking Count,Next Unlock,Days Until Unlock,Total HYPE,Total HYPE (formatted),In Unstaking Queue,Sort Days
0x39a3...2795,0x39a3bbe71987f32e115dc807c1138b9a84f32795,0.0066,8.65e-06,0.01,0.00,0.0,262345.7166,0.00,"262,345.72",1,All Unlocked,0.0,262345.72320864996,"262,345.72",Yes,0.0
0x6ef1...3ad9,0x6ef1eda0e85281b0c69ca49b1e3876e99a513ad9,0.00961,4.99e-06,0.01,0.00,0.0,166734.98951,0.00,"166,734.99",1,All Unlocked,0.0,166734.99912499002,"166,735.00",Yes,0.0
0x120e...2d5d,0x120ebd61a6cda38818d4c3a25e7d83dcb6912d5d,0.00068,3.24e-06,0.00,0.00,0.0,202808.02068,0.00,"202,808.02",1,All Unlocked,0.0,202808.02136324,"202,808.02",Yes,0.0
0x9abe...e0b0,0x9abe126127818c6440db88cf32a222e47193e0b0,0.00972,6.41e-06,0.01,0.00,0.0,442416.92972,0.00,"442,416.93",1,All Unlocked,0.0,442416.93944641,"442,416.94",Yes,0.0
0x1f68...8053,0x1f68cb6b0385844178dd3865e7dc6320c2a88053,0.00619,9.33e-06,0.01,0.00,0.0,239260.97619,0.00,"239,260.98",1,All Unlocked,0.0,239260.98238933,"239,260.98",Yes,0.0
0x0ed9...14f8,0x0ed92cffa284388ef38f97f56e6b2ceb6e9c14f8,107722.50444,1.85e-06,"107,722.50",0.00,0.0,238948.00434,0.00,"238,948.00",1,All Unlocked,0.0,346670.50878185,"346,670.51",Yes,0.0
0xcd1a...e525,0xcd1a5fb7c3a5ad2a13fce54853b3c3a01396e525,0.0,549017.30273715,0.00,"549,017.30",0.0,0.0,0.00,0.00,0,-,,549017.30273715,"549,017.30",No,
0x718d...4e8a,0x718d8fd9e566b802399ceafb19741c57d4244e8a,0.0,1.91e-06,0.00,0.00,318133.2458,0.0,"318,133.25",0.00,1,2026-01-15 09:22,2.0,318133.24580191,"318,133.25",Yes,2.0
0x0cda...9302,0x0cda7d72834bb6662ffa77cf8adf99eaea239302,0.0001,302743.07317341,0.00,"302,743.07",0.0,0.0,0.00,0.00,0,-,,302743.07327341003,"302,743.07",No,
0x407e...ca93,0x407ed5d253a595ea8a4d8b2e2f8e9d079f51ca93,0.0,278446.63645891,0.00,"278,446.64",0.0,0.0,0.00,0.00,0,-,,278446.63645891,"278,446.64",No,
0x05dc...8657,0x05dc811ddcd793cc5204ba3fc4ae665768938657,0.0,6.95e-06,0.00,0.00,274341.4513,0.0,"274,341.45",0.00,1,2026-01-15 09:16,2.0,274341.45130695,"274,341.45",Yes,2.0
0x6b40...afe7,0x6b40d2fc89c9672efd71b5b6b11bcd5f3673afe7,0.0,1.137e-05,0.00,0.00,247278.61799,0.0,"247,278.62",0.00,1,2026-01-16 09:25,3.0,247278.61800137,"247,278.62",Yes,3.0
0xb1c3...85e3,0xb1c3f6f0c1aefb25ec825ac8e0ba517a976285e3,0.0,1.4e-07,0.00,0.00,242461.88464,0.0,"242,461.88",0.00,1,2026-01-19 09:54,6.0,242461.88464014,"242,461.88",Yes,6.0
0x8150...fce8,0x81501f4da49c18bb3f69e4abfeb4d2346ac5fce8,0.0,228094.33700695,0.00,"228,094.34",0.0,0.0,0.00,0.00,0,-,,228094.33700695,"228,094.34",No,
0x5cef...2ab8,0x5cef1ba44d97bae8296288d41206fdf6951a2ab8,0.0,203725.30387578,0.00,"203,725.30",0.0,0.0,0.00,0.00,0,-,,203725.30387578,"203,725.30",No,
0x70e1...7bf6,0x70e1929eec76555e99dbc75cbad1c2ac7e7e7bf6,0.0,5.83e-06,0.00,0.00,188340.59484,0.0,"188,340.59",0.00,1,2026-01-20 09:18,7.0,188340.59484583,"188,340.59",Yes,7.0
